ubicacion_key;Departamento;Código Entidad
0;Bolívar;13000.0
1;Boyacá;15000.0
2;Bogotá;11001.0
3;Atlántico;8000.0
4;Antioquia;5000.0
5;Huila;41000.0
6;Chocó;27000.0
7;Cundinamarca;25000.0
8;Cesar;20000.0
9;Córdoba;23000.0
10;Cauca;19000.0
11;Caquetá;18000.0
12;Caldas;17000.0
13;Sucre;70000.0
14;Sucre;70771.0
15;Risaralda;66000.0
16;Quindío;63000.0
17;Santander;68000.0
18;Nariño;52000.0
19;Norte de Santander;54000.0
20;Meta;50000.0
21;La Guajira;44000.0
22;Magdalena;47000.0
23;Vichada;99000.0
24;Guaviare;95000.0
25;Amazonas;91000.0
26;San Andrés y Providencia;88000.0
27;Putumayo;86000.0
28;Casanare;85000.0
29;Arauca;81001.0
30;Arauca;81000.0
31;Valle del Cauca;76000.0
32;Tolima;73000.0
33;Guainía;94000.0
34;Nariño;52480.0
35;Boyacá;15104.0
36;Vaupés;97000.0
