index;Dato Numérico;fecha_key;ubicacion_key;regimen_key
0;3.220.651,00;5;4;0
1;3.243.203,00;6;4;0
2;3.360.824,00;0;4;0
3;3.590.444,00;1;4;0
4;3.781.186,00;2;4;0
5;3.718.722,00;3;4;0
6;3.821.263,00;7;4;0
7;3.961.365,00;8;4;0
8;4.064.847,00;4;4;0
9;1.065.292,00;5;3;0
10;1.056.517,00;6;3;0
11;1.076.557,00;0;3;0
12;1.058.649,00;1;3;0
13;1.112.908,00;2;3;0
14;1.099.070,00;3;3;0
15;1.117.934,00;7;3;0
16;1.148.484,00;8;3;0
17;1.175.107,00;4;3;0
18;5.485.967,00;5;2;0
19;5.592.369,00;6;2;0
20;5.766.290,00;0;2;0
21;6.090.189,00;1;2;0
22;6.181.534,00;2;2;0
23;6.228.465,00;3;2;0
24;6.282.936,00;7;2;0
25;6.342.489,00;8;2;0
26;6.378.456,00;4;2;0
27;615.587,00;5;0;0
28;615.518,00;6;0;0
29;634.385,00;0;0;0
30;615.819,00;1;0;0
31;629.535,00;2;0;0
32;621.959,00;3;0;0
33;631.849,00;7;0;0
34;653.169,00;8;0;0
35;656.610,00;4;0;0
36;408.631,00;5;1;0
37;409.609,00;6;1;0
38;425.239,00;0;1;0
39;434.709,00;1;1;0
40;450.734,00;2;1;0
41;436.352,00;3;1;0
42;445.016,00;7;1;0
43;455.230,00;8;1;0
44;473.715,00;4;1;0
45;204,00;5;35;0
46;182,00;6;35;0
47;153,00;0;35;0
48;316,00;1;35;0
49;675,00;2;35;0
50;591,00;3;35;0
51;583,00;7;35;0
52;512,00;8;35;0
53;613,00;4;35;0
54;1.010.707,00;5;17;0
55;1.023.588,00;6;17;0
56;1.052.208,00;0;17;0
57;1.057.784,00;1;17;0
58;1.092.086,00;2;17;0
59;1.068.570,00;3;17;0
60;1.082.507,00;7;17;0
61;1.107.169,00;8;17;0
62;1.124.714,00;4;17;0
63;157.816,00;5;13;0
64;157.833,00;6;13;0
65;161.867,00;0;13;0
66;153.040,00;1;13;0
67;155.580,00;2;13;0
68;151.298,00;3;13;0
69;152.812,00;7;13;0
70;154.939,00;8;13;0
71;158.209,00;4;13;0
72;747,00;5;14;0
73;525,00;6;14;0
74;443,00;0;14;0
75;365,00;1;14;0
76;757,00;2;14;0
77;752,00;3;14;0
78;774,00;7;14;0
79;692,00;8;14;0
80;745,00;4;14;0
81;445.987,00;5;32;0
82;452.838,00;6;32;0
83;465.359,00;0;32;0
84;476.809,00;1;32;0
85;492.005,00;2;32;0
86;481.546,00;3;32;0
87;481.645,00;7;32;0
88;491.001,00;8;32;0
89;506.684,00;4;32;0
90;2.280.491,00;5;31;0
91;2.275.972,00;6;31;0
92;2.333.424,00;0;31;0
93;2.366.309,00;1;31;0
94;2.474.073,00;2;31;0
95;2.471.364,00;3;31;0
96;2.487.820,00;7;31;0
97;2.504.903,00;8;31;0
98;2.546.884,00;4;31;0
99;35.559,00;5;30;0
100;36.670,00;6;30;0
101;39.706,00;0;30;0
102;43.568,00;1;30;0
103;44.816,00;2;30;0
104;42.701,00;3;30;0
105;44.536,00;7;30;0
106;46.887,00;8;30;0
107;48.611,00;4;30;0
108;21.468,00;5;29;0
109;21.413,00;6;29;0
110;23.469,00;0;29;0
111;25.796,00;1;29;0
112;25.083,00;2;29;0
113;23.843,00;3;29;0
114;25.321,00;7;29;0
115;26.520,00;8;29;0
116;26.433,00;4;29;0
117;134.204,00;5;28;0
118;141.163,00;6;28;0
119;155.027,00;0;28;0
120;159.760,00;1;28;0
121;161.927,00;2;28;0
122;148.646,00;3;28;0
123;149.836,00;7;28;0
124;159.931,00;8;28;0
125;163.290,00;4;28;0
126;42.127,00;5;27;0
127;43.194,00;6;27;0
128;45.379,00;0;27;0
129;45.166,00;1;27;0
130;44.985,00;2;27;0
131;41.795,00;3;27;0
132;42.713,00;7;27;0
133;44.167,00;8;27;0
134;46.544,00;4;27;0
135;34.179,00;5;26;0
136;35.980,00;6;26;0
137;37.505,00;0;26;0
138;39.926,00;1;26;0
139;42.607,00;2;26;0
140;41.868,00;3;26;0
141;42.293,00;7;26;0
142;44.129,00;8;26;0
143;43.282,00;4;26;0
144;12.585,00;5;25;0
145;12.452,00;6;25;0
146;12.974,00;0;25;0
147;15.076,00;1;25;0
148;15.316,00;2;25;0
149;15.119,00;3;25;0
150;15.642,00;7;25;0
151;16.093,00;8;25;0
152;16.980,00;4;25;0
153;3.604,00;5;33;0
154;3.797,00;6;33;0
155;4.168,00;0;33;0
156;4.595,00;1;33;0
157;4.869,00;2;33;0
158;4.935,00;3;33;0
159;5.268,00;7;33;0
160;4.274,00;8;33;0
161;5.306,00;4;33;0
162;11.297,00;5;24;0
163;11.726,00;6;24;0
164;12.899,00;0;24;0
165;15.383,00;1;24;0
166;16.047,00;2;24;0
167;16.240,00;3;24;0
168;16.437,00;7;24;0
169;17.182,00;8;24;0
170;19.562,00;4;24;0
171;2.596,00;5;36;0
