index;Dato Numérico;fecha_key;ubicacion_key;causa_key;sexo_key
0;206,00;0;0;0;0
1;209,00;1;0;0;0
2;187,00;2;0;0;0
3;22,00;0;1;0;0
4;17,00;1;1;0;0
5;7,00;2;1;0;0
6;122,00;0;2;0;0
7;144,00;1;2;0;0
8;176,00;2;2;0;0
9;288,00;0;3;0;0
10;401,00;1;3;0;0
11;381,00;2;3;0;0
12;506,00;0;4;0;0
13;366,00;1;4;0;0
14;287,00;2;4;0;0
15;70,00;0;5;0;0
16;90,00;1;5;0;0
17;130,00;2;5;0;0
18;72,00;0;6;0;0
19;67,00;1;6;0;0
20;78,00;2;6;0;0
21;53,00;0;7;0;0
22;36,00;1;7;0;0
23;42,00;2;7;0;0
24;59,00;0;8;0;0
25;56,00;1;8;0;0
26;62,00;2;8;0;0
27;62,00;0;9;0;0
28;29,00;1;9;0;0
29;43,00;2;9;0;0
30;105,00;0;10;0;0
31;97,00;1;10;0;0
32;91,00;2;10;0;0
33;11,00;0;11;0;0
34;4,00;1;11;0;0
35;4,00;2;11;0;0
36;100,00;0;12;0;0
37;56,00;1;12;0;0
38;65,00;2;12;0;0
39;89,00;0;13;0;0
40;75,00;1;13;0;0
41;69,00;2;13;0;0
42;1,00;0;14;0;0
43;62,00;0;15;0;0
44;38,00;1;15;0;0
45;36,00;2;15;0;0
46;42,00;0;16;0;0
47;53,00;1;16;0;0
48;40,00;2;16;0;0
49;117,00;0;17;0;0
50;98,00;1;17;0;0
51;78,00;2;17;0;0
52;43,00;0;18;0;0
53;29,00;1;18;0;0
54;28,00;2;18;0;0
55;49,00;0;19;0;0
56;29,00;1;19;0;0
57;80,00;2;19;0;0
58;29,00;0;20;0;0
59;32,00;1;20;0;0
60;32,00;2;20;0;0
61;73,00;0;21;0;0
62;76,00;1;21;0;0
63;83,00;2;21;0;0
64;61,00;0;22;0;0
65;47,00;1;22;0;0
66;63,00;2;22;0;0
67;5,00;0;23;0;0
68;1,00;1;23;0;0
69;0,00;2;23;0;0
70;1,00;0;24;0;0
71;2,00;1;24;0;0
72;1,00;2;24;0;0
73;9,00;0;25;0;0
74;5,00;1;25;0;0
75;7,00;2;25;0;0
76;9,00;0;26;0;0
77;4,00;1;26;0;0
78;2,00;2;26;0;0
79;8,00;0;27;0;0
80;5,00;1;27;0;0
81;0,00;2;27;0;0
82;25,00;0;28;0;0
83;20,00;1;28;0;0
84;28,00;2;28;0;0
85;9,00;0;29;0;0
86;5,00;1;29;0;0
87;2,00;2;29;0;0
88;14,00;0;30;0;0
89;9,00;1;30;0;0
90;5,00;2;30;0;0
91;903,00;0;31;0;0
92;842,00;1;31;0;0
93;861,00;2;31;0;0
94;57,00;0;32;0;0
95;24,00;1;32;0;0
96;28,00;2;32;0;0
97;0,00;1;33;0;0
98;0,00;2;33;0;0
99;1,00;2;34;0;0
100;0,00;0;0;1;0
101;2,00;1;0;1;0
102;6,00;2;0;1;0
103;2,00;0;1;1;0
104;4,00;1;1;1;0
105;7,00;2;1;1;0
106;17,00;0;2;1;0
107;17,00;1;2;1;0
108;14,00;2;2;1;0
109;4,00;0;3;1;0
110;8,00;1;3;1;0
111;1,00;2;3;1;0
112;7,00;0;4;1;0
113;9,00;1;4;1;0
114;8,00;2;4;1;0
115;0,00;0;5;1;0
116;3,00;1;5;1;0
117;0,00;2;5;1;0
118;0,00;0;6;1;0
119;1,00;1;6;1;0
120;0,00;2;6;1;0
121;2,00;0;7;1;0
122;2,00;1;7;1;0
123;1,00;2;7;1;0
124;2,00;0;8;1;0
125;0,00;1;8;1;0
126;6,00;2;8;1;0
127;3,00;0;9;1;0
128;2,00;1;9;1;0
129;0,00;2;9;1;0
130;1,00;0;10;1;0
131;3,00;1;10;1;0
132;3,00;2;10;1;0
133;0,00;0;11;1;0
134;0,00;1;11;1;0
135;0,00;2;11;1;0
136;0,00;0;12;1;0
137;3,00;1;12;1;0
138;0,00;2;12;1;0
139;0,00;0;13;1;0
140;0,00;1;13;1;0
141;1,00;2;13;1;0
142;0,00;0;14;1;0
143;3,00;0;15;1;0
144;1,00;1;15;1;0
145;1,00;2;15;1;0
146;2,00;0;16;1;0
147;0,00;1;16;1;0
148;1,00;2;16;1;0
149;8,00;0;17;1;0
150;14,00;1;17;1;0
151;16,00;2;17;1;0
152;2,00;0;18;1;0
153;1,00;1;18;1;0
154;4,00;2;18;1;0
155;0,00;0;19;1;0
156;1,00;1;19;1;0
157;1,00;2;19;1;0
158;2,00;0;20;1;0
159;1,00;1;20;1;0
160;0,00;2;20;1;0
161;1,00;0;21;1;0
162;0,00;1;21;1;0
163;1,00;2;21;1;0
164;2,00;0;22;1;0
165;0,00;1;22;1;0
166;1,00;2;22;1;0
167;0,00;0;23;1;0
168;0,00;1;23;1;0
169;0,00;2;23;1;0
170;0,00;0;24;1;0
171;0,00;1;24;1;0
172;0,00;2;24;1;0
173;0,00;0;25;1;0
174;1,00;1;25;1;0
175;0,00;2;25;1;0
176;0,00;0;26;1;0
177;0,00;1;26;1;0
178;1,00;2;26;1;0
179;0,00;0;27;1;0
180;2,00;1;27;1;0
181;0,00;2;27;1;0
182;0,00;0;28;1;0
183;0,00;1;28;1;0
184;1,00;2;28;1;0
185;2,00;0;29;1;0
186;0,00;1;29;1;0
187;0,00;2;29;1;0
188;2,00;0;30;1;0
189;0,00;1;30;1;0
190;1,00;2;30;1;0
191;2,00;0;31;1;0
192;1,00;1;31;1;0
193;4,00;2;31;1;0
194;2,00;0;32;1;0
195;2,00;1;32;1;0
196;1,00;2;32;1;0
197;0,00;1;33;1;0
198;0,00;2;33;1;0
199;0,00;2;34;1;0
200;15,00;0;0;2;0
201;17,00;1;0;2;0
202;22,00;2;0;2;0
203;4,00;0;1;2;0
204;8,00;1;1;2;0
205;5,00;2;1;2;0
206;35,00;0;2;2;0
207;29,00;1;2;2;0
208;25,00;2;2;2;0
209;48,00;0;3;2;0
210;23,00;1;3;2;0
211;6,00;2;3;2;0
212;96,00;0;4;2;0
213;76,00;1;4;2;0
214;62,00;2;4;2;0
215;5,00;0;5;2;0
216;11,00;1;5;2;0
217;14,00;2;5;2;0
218;7,00;0;6;2;0
219;3,00;1;6;2;0
220;1,00;2;6;2;0
221;16,00;0;7;2;0
222;15,00;1;7;2;0
223;13,00;2;7;2;0
224;6,00;0;8;2;0
225;12,00;1;8;2;0
226;10,00;2;8;2;0
227;1,00;0;9;2;0
228;3,00;1;9;2;0
229;6,00;2;9;2;0
230;10,00;0;10;2;0
231;14,00;1;10;2;0
232;11,00;2;10;2;0
233;2,00;0;11;2;0
234;1,00;1;11;2;0
235;1,00;2;11;2;0
236;13,00;0;12;2;0
237;12,00;1;12;2;0
238;7,00;2;12;2;0
239;4,00;0;13;2;0
240;7,00;1;13;2;0
241;5,00;2;13;2;0
242;0,00;0;14;2;0
243;3,00;0;15;2;0
244;9,00;1;15;2;0
245;4,00;2;15;2;0
246;4,00;0;16;2;0
247;0,00;1;16;2;0
248;0,00;2;16;2;0
249;39,00;0;17;2;0
250;32,00;1;17;2;0
251;63,00;2;17;2;0
252;18,00;0;18;2;0
253;15,00;1;18;2;0
254;20,00;2;18;2;0
255;8,00;0;19;2;0
256;9,00;1;19;2;0
257;4,00;2;19;2;0
258;3,00;0;20;2;0
259;3,00;1;20;2;0
260;8,00;2;20;2;0
261;4,00;0;21;2;0
262;10,00;1;21;2;0
263;3,00;2;21;2;0
264;3,00;0;22;2;0
265;13,00;1;22;2;0
266;6,00;2;22;2;0
267;1,00;0;23;2;0
268;1,00;1;23;2;0
269;0,00;2;23;2;0
270;0,00;0;24;2;0
271;1,00;1;24;2;0
272;0,00;2;24;2;0
273;4,00;0;25;2;0
274;2,00;1;25;2;0
275;2,00;2;25;2;0
276;5,00;0;26;2;0
277;3,00;1;26;2;0
278;4,00;2;26;2;0
279;0,00;0;27;2;0
280;1,00;1;27;2;0
281;4,00;2;27;2;0
282;4,00;0;28;2;0
283;6,00;1;28;2;0
