index;Dato Numérico;fecha_key;ubicacion_key
0;8.246,00;3;4
1;105,00;3;3
2;294,00;3;2
3;1.902,00;3;0
4;391,00;3;1
5;4,00;3;35
6;688,00;3;12
7;1.693,00;3;11
8;1.488,00;3;10
9;2.320,00;3;8
10;508,00;3;9
11;537,00;3;7
12;1.017,00;3;6
13;464,00;3;5
14;418,00;3;21
15;790,00;3;22
16;1.889,00;3;20
17;2.729,00;3;18
18;4,00;3;34
19;2.407,00;3;19
20;72,00;3;16
21;308,00;3;15
22;1.137,00;3;17
23;701,00;3;13
24;62,00;3;14
25;728,00;3;32
26;1.167,00;3;31
27;744,00;3;30
28;185,00;3;29
29;776,00;3;28
30;1.326,00;3;27
31;1,00;3;26
32;26,00;3;25
33;37,00;3;33
34;652,00;3;24
35;131,00;3;36
36;134,00;3;23
